이름,몸무게,키
나바,82,178,
아아,31,190,
사하,33,142,
사카,42,142,
아바,65,190,
파다,43,178,
카바,103,194,
파파,70,188,
가바,101,152,
카나,53,156,
자가,93,154,
바차,100,146,
차자,43,158,
카바,44,154,
다카,83,158,
가자,83,146,
카파,111,182,
타차,98,188,
사바,96,168,
바다,35,192,
파바,70,166,
라가,104,198,
파다,89,192,
사파,46,160,
하파,51,142,
카다,54,174,
바바,93,142,
사차,99,178,
파다,111,178,
파카,85,148,
라가,75,176,
라라,35,168,
바나,63,198,
바자,109,188,
차타,65,140,
차바,53,164,
바바,107,166,
다바,84,150,
차차,56,154,
나바,72,182,
파다,111,186,
바타,44,176,
다바,70,144,
바자,42,166,
카사,40,158,
바자,104,154,
자하,73,190,
타차,94,192,
바바,61,158,
라자,39,158,
자다,45,166,
타바,104,160,
아타,79,178,
다아,43,194,
사나,43,186,
아바,33,188,
파다,63,156,
사파,107,182,
타사,79,190,
파차,49,160,
사아,35,196,
바타,99,150,
나나,61,150,
하자,111,186,
자라,93,196,
차사,46,158,
라자,110,160,
나나,79,170,
차차,40,172,
바가,79,152,
차카,54,158,
자카,118,186,
자다,64,152,
파파,75,150,
차파,79,174,
가바,45,162,
라차,33,140,
차자,73,180,
라바,52,150,
하나,105,150,
타가,67,182,
바타,52,178,
사자,49,148,
파아,111,180,
파라,119,168,
파바,44,168,
바바,99,154,
카사,113,170,
나자,90,190,
카바,104,142,
나아,74,144,
라하,76,168,
다파,79,154,
하바,31,154,
타바,62,140,
가사,114,186,
차라,43,196,
아사,46,152,
하자,79,164,
아파,71,144,
하자,67,156,
차카,79,150,
바다,63,154,
파하,38,168,
하차,90,148,
하자,98,146,
다자,114,164,
자자,101,184,
라아,93,170,
사바,85,142,
하카,103,172,
바라,34,162,
다파,70,144,
가하,89,176,
파사,54,158,
파라,42,188,
하타,113,146,
라다,66,186,
아가,56,160,
나타,78,166,
파차,60,166,
사가,98,166,
카타,54,192,
나라,64,180,
바타,43,142,
자자,43,140,
가바,112,180,
차가,67,186,
가바,77,172,
카가,113,190,
다하,116,146,
파라,51,160,
바라,80,162,
차사,90,172,
차다,82,162,
나나,49,192,
바나,82,188,
다차,48,146,
가가,36,140,
카가,69,152,
아사,92,160,
카바,57,140,
파자,108,160,
사다,68,186,
하나,98,160,
카타,43,164,
바차,81,182,
바자,60,140,
파차,55,192,
라아,110,146,
아카,48,150,
차하,90,182,
사사,91,176,
타하,76,192,
파파,37,190,
다파,49,154,
다차,119,192,
가바,87,140,
파자,111,182,
가사,81,192,
바아,88,180,
다차,113,162,
자사,68,166,
자나,110,170,
타카,61,182,
바자,93,174,
하파,47,160,
나차,53,162,
사라,81,180,
파카,39,196,
라타,119,190,
자다,75,162,
차바,82,184,
다카,32,186,
라바,77,192,
바하,83,170,
자파,106,142,
파파,52,148,
파바,68,188,
나바,98,166,
카자,104,180,
라나,105,144,
나타,63,182,
차바,118,186,
하카,53,182,
사자,52,140,
라사,116,172,
다차,97,164,
라다,85,184,
바자,60,190,
타카,56,190,
자나,44,192,
카차,101,156,
카바,102,182,
다나,93,180,
타라,62,190,
아다,105,188,
가자,42,194,
아파,65,154,
카카,48,184,
나바,107,140,
바가,104,196,
카바,65,180,
아차,69,142,
카가,38,160,
바나,53,162,
카다,54,168,
바나,46,190,
나바,108,172,
사사,70,154,
차차,87,174,
자차,61,146,
차바,85,170,
가가,51,190,
카가,64,194,
가타,51,146,
타차,55,158,
타라,51,194,
파파,70,196,
하다,79,172,
자바,72,180,
나가,115,172,
하자,91,198,
아가,44,164,
타가,46,178,
타하,109,164,
사다,104,194,
사차,88,150,
자카,105,172,
자바,30,158,
자나,53,156,
가사,106,180,
나바,40,174,
하카,116,176,
차사,94,148,
바타,60,170,
카자,51,152,
바자,71,160,
카카,39,174,
파차,64,192,
사차,112,160,
자바,33,178,
파다,42,164,
하아,115,164,
아타,88,190,
아다,117,164,
카가,118,198,
자라,117,178,
바나,91,196,
바카,99,164,
타타,114,158,
자바,100,174,
타차,114,158,
가라,59,176,
파카,59,156,
바하,73,142,
사바,80,158,
자파,82,186,
자다,81,182,
다타,105,146,
차나,105,148,
하파,66,142,
하나,104,148,
바라,85,170,
차자,97,170,
사파,88,140,
다파,48,166,
사카,111,186,
나카,63,198,
사라,105,188,
바다,59,150,
가바,110,192,
나타,84,170,
타아,100,182,
자아,79,162,
차다,74,166,
사차,45,144,
바차,110,168,
카아,68,186,
사라,54,142,
다아,107,140,
하카,101,182,
나파,56,162,
나카,117,180,
자다,96,160,
타나,54,166,
다라,95,176,
하라,33,170,
아아,103,186,
파나,63,152,
차사,102,194,
아카,106,166,
가하,111,168,
바자,35,154,
카바,79,164,
나타,84,184,
